Дата,Выявлено всего,Заражений за день,Выздоровлений,Выздоровлений за день,Смертей за день,Смертей,"Летальность, %",% Выздоровлений,% Смертей,% прирост,Выздоровевших и умерших,Характерстика ДБ
2021-03-12,4370617,9794,3973029,13496,486,91220,2.09,0.003408482768043619,0.005356316265126671,0.0022459063346529358,4064249,26.0
2021-03-13,4380525,9908,3985897,12868,475,91695,2.09,0.0032388386795061397,0.0052071914053934965,0.0022669568163946607,4077592,26.0
2021-03-14,4390608,10083,3995129,9232,395,92090,2.1,0.002316166223060856,0.00430775941981576,0.00230177889636507,4087219,26.0
2021-03-15,4400045,9437,4003576,8447,404,92494,2.1,0.002114324718926364,0.004387012704962556,0.002149360635246955,4096070,27.0
2021-03-16,4409438,9393,4014220,10644,443,92937,2.11,0.002658623190867404,0.00478949985945043,0.0021347508945930294,4107157,27.0
2021-03-17,4418436,8998,4024975,10755,427,93364,2.11,0.0026792253538669986,0.004594510259638307,0.002040622863956898,4118339,27.0
2021-03-18,4428239,9803,4037036,12061,460,93824,2.12,0.0029965403511822424,0.004926952572726018,0.002218658366897275,4130860,27.0
2021-03-19,4437938,9699,4049373,12337,443,94267,2.12,0.003055954913456338,0.004721606412005475,0.0021902611850896925,4143640,27.0
2021-03-20,4447570,9632,4060652,11279,392,94659,2.13,0.002785369488066402,0.0041584011371953436,0.0021703773238832547,4155311,27.0
2021-03-21,4456869,9299,4069395,8743,371,95030,2.13,0.0021531025066909852,0.003919331495156221,0.0020908046416356907,4164425,28.0
2021-03-22,4466153,9284,4077185,7790,361,95391,2.14,0.0019142894705477254,0.003798800378827849,0.0020830767069885963,4172576,28.0
2021-03-23,4474610,8457,4088045,10860,427,95818,2.14,0.002663602461011605,0.0044763132790304186,0.0018935759701916852,4183863,28.0
2021-03-24,4483471,8861,4098400,10355,401,96219,2.15,0.0025329956005866183,0.004185017428875559,0.001980284315281189,4194619,28.0
2021-03-25,4492692,9221,4109281,10881,393,96612,2.15,0.002654938512590244,0.004084432388613557,0.002056665471907859,4205893,28.0
2021-03-26,4501859,9167,4120161,10880,405,97017,2.16,0.002647665126819021,0.004192025835299873,0.002040424760922921,4217178,28.0
2021-03-27,4510744,8885,4130498,10337,387,97404,2.16,0.002508882541240487,0.003988991620025306,0.001973629116327258,4227902,28.0
2021-03-28,4519832,9088,4139128,8630,336,97740,2.16,0.0020893364432086337,0.0034495503264753147,0.002014745239366178,4236868,28.0
2021-03-29,4528543,8711,4146408,7280,293,98033,2.16,0.0017588245640145495,0.0029977491303458947,0.0019272840229460628,4244441,29.0
2021-03-30,4536820,8277,4155996,9588,409,98442,2.17,0.002312362893376552,0.00417206450888985,0.0018277401804509539,4254438,29.0
2021-03-31,4545095,8275,4166172,10176,408,98850,2.17,0.002448510537546245,0.0041445724385933405,0.001823964803540745,4265022,29.0
2021-04-01,4554264,9169,4176419,10247,383,99233,2.18,0.002459572000387933,0.003874557410217472,0.0020173395715601394,4275652,29.0
2021-04-02,4563056,8792,4186251,9832,400,99633,2.18,0.0023541699240425817,0.0040309171344210535,0.001930498539390868,4285884,29.0
2021-04-03,4572077,9021,4195869,9618,384,100017,2.19,0.002297521099427602,0.0038541447110898024,0.001976964560592709,4295886,29.0
2021-04-04,4580894,8817,4204081,8212,357,100374,2.19,0.001957163104949089,0.0035693932031555242,0.0019284452120993392,4304455,29.0
2021-04-05,4589540,8646,4211133,7052,343,100717,2.19,0.0016774177281551061,0.0034172195987007825,0.001887404510997115,4311850,30.0
2021-04-06,4597868,8328,4220035,8902,389,101106,2.2,0.0021139204104927427,0.003862307256967457,0.0018145609363902078,4321141,30.0
2021-04-07,4606162,8294,4229480,9445,374,101480,2.2,0.002238133096052586,0.0036990880857714634,0.0018038795372115055,4330960,30.0
2021-04-08,4614834,8672,4239038,9558,365,101845,2.21,0.002259852274984153,0.003596767836026693,0.0018826953980342067,4340883,30.0
2021-04-09,4623984,9150,4248700,9662,402,102247,2.21,0.0022792907258675217,0.0039471746281114495,0.0019827365404692103,4350947,30.0
2021-04-10,4632688,8704,4258279,9579,402,102649,2.22,0.002254571986725296,0.0039316556964996705,0.0018823594545309683,4360928,29.0
2021-04-11,4641390,8702,4265509,7230,337,102986,2.22,0.0016978690217339665,0.0032830324698731594,0.0018783911197990386,4368495,30.0
2021-04-12,4649710,8320,4272165,6656,277,103263,2.22,0.0015604233867516635,0.0026896859767346908,0.0017925664509985673,4375428,30.0
2021-04-13,4657883,8173,4281776,9611,338,103601,2.22,0.0022496790269102007,0.003273195626700698,0.0017577440313480965,4385377,30.0
2021-04-14,4666209,8326,4291223,9447,399,104000,2.23,0.002206327467854541,0.0038513141765041947,0.001787507328973259,4395223,30.0
2021-04-15,4675153,8944,4301448,10225,398,104398,2.23,0.0023827705994305948,0.0038269230769230056,0.0019167594079048114,4405846,30.0
2021-04-16,4684148,8995,4310557,9109,397,104795,2.24,0.0021176589836724435,0.00380275484204673,0.0019240012038108656,4415352,30.0
2021-04-17,4693469,9321,4319389,8832,398,105193,2.24,0.0020489231438072237,0.0037978911207596773,0.001989902966345269,4424582,30.0
2021-04-18,4702101,8632,4326780,7391,389,105582,2.25,0.00171112164243592,0.0036979646934682813,0.001839151382484916,4432362,30.0
2021-04-19,4710690,8589,4333598,6818,346,105928,2.25,0.0015757676609395865,0.0032770737436305093,0.0018266302659173395,4439526,30.0
2021-04-20,4718854,8164,4343229,9631,379,106307,2.25,0.002222402724018302,0.0035779019711501547,0.0017330794427143914,4449536,30.0
2021-04-21,4727125,8271,4352873,9644,399,106706,2.26,0.002220467767184209,0.003753280592999619,0.0017527560717072175,4459579,30.0
2021-04-22,4736121,8996,4361807,8934,397,107103,2.26,0.0020524375510151405,0.003720503064494896,0.0019030594706084254,4468910,30.0
2021-04-23,4744961,8840,4371214,9407,398,107501,2.27,0.0021566749743855422,0.003716049036908364,0.0018665063667080426,4478715,30.0
2021-04-24,4753789,8828,4380468,9254,399,107900,2.27,0.002117032019022691,0.0037115933805267343,0.0018605000125395679,4488368,30.0
2021-04-25,4762569,8780,4388008,7540,332,108232,2.27,0.0017212772699173318,0.0030769230769229767,0.001846947771556584,4496240,30.0
2021-04-26,4771372,8803,4394639,6631,356,108588,2.28,0.0015111640635112609,0.003289230541799082,0.0018483721705659926,4503227,30.0
2021-04-27,4779425,8053,4402678,8039,392,108980,2.28,0.001829274258932312,0.0036099753195564244,0.0016877745017576107,4511658,30.0
2021-04-28,4787273,7848,4411098,8420,387,109367,2.28,0.0019124723634116325,0.003551110295467064,0.0016420385297395426,4520465,30.0
2021-04-29,4796557,9284,4419540,8442,364,109731,2.29,0.0019138092148485164,0.0033282434372343683,0.001939308662781469,4529271,30.0
2021-04-30,4805288,8731,4427946,8406,397,110128,2.29,0.0019020079012748161,0.003617938413028153,0.0018202639935269715,4538074,30.0
2021-05-01,4814558,9270,4436583,8637,392,110520,2.3,0.0019505657928078344,0.0035594944065087115,0.0019291247475696765,4547103,30.0
2021-05-02,4823255,8697,4443922,7339,342,110862,2.3,0.0016542009920696987,0.0030944625407165467,0.0018063963504022509,4554784,30.0
2021-05-03,4831744,8489,4450289,6367,336,111198,2.3,0.0014327434189889132,0.003030795042485268,0.0017600147618153095,4561487,31.0
2021-05-04,4839514,7770,4457044,6755,337,111535,2.3,0.0015178789512322322,0.0030306300473030845,0.0016081149994702224,4568579,31.0
2021-05-05,4847489,7975,4464550,7506,360,111895,2.31,0.0016840758134764044,0.0032276863764737485,0.0016478927429490753,4576445,31.0
2021-05-06,4855128,7639,4472338,7788,351,112246,2.31,0.001744408731003233,0.0031368693864783914,0.0015758674233194991,4584584,31.0
2021-05-07,4863514,8386,4480360,8022,376,112622,2.32,0.0017936926949617684,0.003349785293017105,0.0017272459140109664,4592982,31.0
2021-05-08,4871843,8329,4488615,8255,370,112992,2.32,0.001842485871671018,0.0032853261352132623,0.0017125477586781288,4601607,31.0
2021-05-09,4880262,8419,4496132,7517,334,113326,2.32,0.0016746813883570244,0.0029559614839989035,0.0017280934545715887,4609458,31.0
