Дата,Заражений за день,Day sin,Day cos,Характерстика ДБ
2020-10-18,15099,0.817719385664439,-0.5756170656856626,29.0
2020-10-19,15982,0.8001335480111923,-0.5998218946879323,29.0
2020-10-20,16319,0.7818314824680632,-0.6234898018586916,28.0
2020-10-21,15700,0.7628295718622774,-0.6465996012157867,28.0
2020-10-22,15971,0.743144825477381,-0.6691306063588729,27.0
2020-10-23,17340,0.7227948638273525,-0.6910626489869055,26.0
2020-10-24,16521,0.7017979028840059,-0.7123760969513304,26.0
2020-10-25,16710,0.6801727377709075,-0.7330518718298373,26.0
2020-10-26,17347,0.6579387259396727,-0.7530714660036458,26.0
2020-10-27,16550,0.6351157698421973,-0.7724169592245843,25.0
2020-10-28,16202,0.6117242991149963,-0.791071034656349,25.0
2020-10-29,17717,0.5877852522924332,-0.8090169943749764,25.0
2020-10-30,18283,0.5633200580636448,-0.8262387743159794,24.0
2020-10-31,18140,0.5383506160906747,-0.8427209586540441,24.0
2020-11-01,18665,0.5128992774058668,-0.8584487936018896,24.0
2020-11-02,18257,0.48698882440439445,-0.8734082006171145,24.0
2020-11-03,18648,0.46064245045062735,-0.8875857890045566,24.0
2020-11-04,19768,0.43388373911752004,-0.9009688679024375,24.0
2020-11-05,19404,0.4067366430758319,-0.9135454576425868,24.0
2020-11-06,20582,0.37922546265292656,-0.9253043004739975,24.0
2020-11-07,20396,0.35137482408130644,-0.9362348706397509,23.0
2020-11-08,20498,0.3232096574544962,-0.9463273837991518,23.0
2020-11-09,21798,0.2947551744109057,-0.9555728057861402,24.0
2020-11-10,20977,0.2660368455666412,-0.9639628606958627,24.0
2020-11-11,19851,0.2370803777155381,-0.9714900382928575,23.0
2020-11-12,21608,0.2079116908177643,-0.9781476007338046,23.0
2020-11-13,21983,0.17855689479860554,-0.9839295885986353,23.0
2020-11-14,22702,0.1490422661762193,-0.9888308262251218,23.0
2020-11-15,22572,0.11939422454025292,-0.9928469263418362,23.0
2020-11-16,22778,0.08963930890340555,-0.9959742939952415,23.0
2020-11-17,22410,0.059804153945083,-0.9982101297677323,23.0
